"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2023,591300352,467.071055991,G2,1,2,83,G5,2,1,G1,Q1,D02,Q5,D09,89150,3650,0,0,85500,85500,85500,0,1000,0,0,0,0,0,0,0,0,0,0,0,88150,1844,1481,,5,3,4,2,2,,,,,
2023,591300372,467.071055991,G2,1,2,82,G5,2,1,G1,Q3,D06,Q5,D10,158700,35400,800,0,123300,120000,50000,70000,10,0,0,0,0,0,0,0,0,120,120,0,158690,6088,5292,,1,1,1,2,2,,,,,
2023,591900201,453.473986366,G2,2,2,58,G4,4,5,G1,Q4,D07,Q3,D06,53920,3120,1000,0,50800,50800,0,26800,30000,30000,6000,0,6000,24000,24000,0,0,3360,3000,360,23920,7838,6366,,2,1,2,1,2,,2,2,,2
2023,591900231,361.431424631,G2,1,4,40,G3,2,2,G1,Q4,D07,Q2,D04,36559,18339,0,16000,18220,18000,0,0,26000,26000,8000,0,0,18000,18000,0,0,384,0,384,10559,6936,5530,,2,1,3,1,3,1,3,2,,2
2023,591900301,703.058876135,G2,1,4,55,G4,2,1,G1,Q5,D09,Q5,D09,107410,560,0,0,106850,102000,27000,75000,9000,9000,7800,7800,0,0,0,0,1000,1975,1400,575,98410,12839,8878,30,2,3,3,1,1,,1,2,,1
2023,591900321,793.738769788,G2,1,5,43,G3,2,1,G1,Q3,D06,Q4,D07,60413,6613,0,0,53800,49000,45000,4000,16500,16500,16500,16500,0,0,0,0,0,1500,1100,400,43913,6271,5264,,3,1,4,1,1,,1,2,,2
2023,591900331,591.690089859,G2,2,1,90,G5,3,5,G2,Q1,D01,Q1,D01,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,712,701,,1,1,4,2,2,,,,,
2023,610000102,1517.315838889,G1,1,1,69,G5,4,1,G1,Q1,D02,Q5,D10,150000,40000,0,0,110000,110000,92000,18000,1000,0,0,0,0,0,0,0,0,0,0,0,149000,1527,961,,5,1,3,2,2,,,,,
2023,610000142,1755.309649642,G1,1,1,56,G4,4,1,G1,Q3,D06,Q5,D10,133350,3350,0,0,130000,130000,130000,0,11172,11172,11172,0,0,0,0,0,0,1800,1080,720,122178,6501,4491,,3,1,3,2,1,,1,2,,2
2023,610000152,1862.941201947,G1,2,3,57,G4,4,3,G1,Q3,D06,Q2,D03,12530,12530,0,10000,0,0,0,0,4000,4000,0,0,0,4000,4000,0,0,120,0,120,8530,5565,4873,,1,1,3,2,2,,2,2,,3
2023,610000172,1325.836870754,G1,2,1,80,G5,3,1,G2,Q2,D03,Q5,D10,142000,2000,0,0,140000,140000,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,142000,3232,2591,,1,1,1,2,2,,,,,
2023,610000182,1414.413118793,G1,1,3,68,G5,2,1,G2,Q4,D08,Q4,D08,57700,2300,900,0,55400,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,57700,8148,7434,,1,1,2,1,2,,,,,
2023,610000192,2198.172125912,G1,1,5,47,G3,2,1,G1,Q4,D08,Q2,D04,32550,550,0,0,32000,30000,30000,0,17700,17700,16000,16000,0,1700,1700,0,0,2240,1100,1140,14850,8624,7056,,3,2,2,2,1,,3,2,,2
2023,610000222,971.608889462,G2,1,2,76,G5,2,1,G1,Q1,D02,Q3,D05,25950,250,0,0,25700,25500,7500,18000,4000,0,0,0,0,0,0,0,0,0,0,0,21950,1514,1305,,1,1,2,2,2,,,,,
2023,610000252,1707.516853016,G2,2,3,54,G4,2,1,G1,Q4,D08,Q5,D10,128253,6503,0,0,121750,121000,40000,81000,13000,0,0,0,0,0,0,0,0,0,0,0,115253,9142,7368,,2,1,2,1,2,,,,,
2023,610000262,1326.729860764,G2,1,2,63,G5,2,1,G1,Q5,D09,Q5,D10,196316,54316,0,0,142000,142000,47000,95000,10500,10000,10000,0,10000,0,0,0,0,516,0,516,185816,12466,9446,45,2,3,2,1,1,,2,2,,1
2023,610000282,1695.858152133,G2,1,4,56,G4,2,1,G1,Q5,D09,Q5,D09,85440,45260,40000,0,40180,40000,40000,0,8155,8155,7735,7735,0,0,0,0,300,2245,1885,360,77285,12243,10689,,1,7,2,2,1,,1,2,,2
2023,610000292,1738.419236374,G2,1,3,49,G3,4,3,G2,Q2,D03,Q1,D01,630,630,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,3031,3030,,1,1,2,1,2,,,,,
