"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","보완_소득5분위코드","보완_소득10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","보완_경상소득","보완_처분가능소득","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2018,517500131,2067.43606817443,G1,1,4,55,G4,2,2,G1,Q5,D09,Q1,D02,8224,7501,0,7000,723,0,0,0,4800,4800,4800,0,0,0,0,0,0,340,200,140,3424,10480,9890,,,,,,,,,,,
2018,517500141,2083.39998042695,G1,1,4,46,G3,2,3,G1,Q5,D09,Q3,D06,33438,32738,0,20000,700,0,0,0,12180,12180,12000,0,0,0,0,0,0,600,320,280,21258,8851,6975,,,,,,,,,,,
2018,517500151,1874.46832822482,G1,1,5,54,G4,2,1,G1,Q5,D10,Q5,D09,82010,6210,0,0,75800,74000,55000,19000,28200,26700,3500,0,0,23200,22000,1200,0,3710,3000,710,53810,13963,9588,,,,,,,,,,,
2018,517500291,2064.43738833771,G2,1,5,50,G4,2,1,G1,Q3,D06,Q1,D02,15602,402,0,0,15200,15200,15000,200,11200,2700,1200,1200,0,1500,1500,0,0,1540,1300,240,4402,5147,4569,,3,1,2,2,1,,1,2,,3
2018,517502311,2138.75576568174,G2,1,4,38,G2,2,1,G1,Q5,D10,Q4,D08,80038,8538,500,0,71500,71000,24000,47000,30000,16000,15000,10000,5000,1000,0,1000,0,8670,8000,670,50038,13593,10770,,2,1,3,1,1,,1,2,,2
2018,517600101,1617.19425493522,G1,1,3,34,G2,2,1,G1,Q3,D06,Q5,D09,83710,21710,0,0,62000,60000,60000,0,25020,25020,25000,0,0,0,0,0,0,1200,1200,0,58690,4621,3970,,,,,,,,,,,
2018,517600111,512.990654684269,G1,2,7,49,G3,1,5,G2,Q3,D06,Q2,D04,11890,10940,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11890,5373,4833,,,,,,,,,,,
2018,517600141,1505.47547233619,G1,1,4,40,G3,2,1,G1,Q3,D06,Q4,D08,47990,4640,1500,0,43350,40000,40000,0,11200,11200,7200,7200,0,4000,0,4000,0,8085,7350,735,36790,4921,3686,,,,,,,,,,,
2018,517600171,2159.90951341204,G1,1,2,61,G5,3,1,G2,Q2,D04,Q4,D08,46072,872,100,0,45200,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,46072,2727,1954,,,,,,,,,,,
2018,517600181,1100.27891375788,G1,1,2,70,G5,2,1,G2,Q2,D04,Q5,D10,80143,6300,0,0,73843,65000,65000,0,0,0,0,0,0,0,0,0,0,3052,3000,52,80143,3456,3078,,,,,,,,,,,
2018,517600191,1583.86659607016,G1,1,4,58,G4,2,3,G1,Q5,D09,Q3,D06,28530,27490,0,10000,1040,1000,0,1000,4520,4520,0,0,0,4520,4520,0,0,388,240,148,24010,9346,8587,,,,,,,,,,,
2018,517600311,3059.57973175418,G1,1,5,44,G3,2,3,G1,Q5,D10,Q3,D06,25964,22714,700,4000,3250,0,0,0,1500,1500,0,0,0,0,0,0,0,1248,1248,0,24464,15204,14429,,,,,,,,,,,
2018,517600321,842.857330580129,G1,1,5,47,G3,2,2,G1,Q5,D10,Q5,D10,225808,40308,0,35000,185500,180000,0,180000,41300,41300,40000,0,40000,1300,0,1300,0,2501,1000,1501,184508,15432,12668,,,,,,,,,,,
2018,517600331,1108.3330931697,G2,1,1,44,G3,1,3,G1,Q1,D02,Q1,D02,3356,3356,0,200,0,0,0,0,330,330,330,0,0,0,0,0,0,928,815,113,3026,1155,978,,,,,,,,,,,
2018,517600341,2422.1776057244,G1,1,2,45,G3,4,3,G1,Q2,D04,Q1,D01,2511,2411,0,1800,100,0,0,0,5000,5000,0,0,0,5000,5000,0,0,936,800,136,-2489,3409,2865,,,,,,,,,,,
2018,517600351,2666.61950850483,G1,1,5,45,G3,2,1,G1,Q5,D09,Q3,D05,29412,3632,0,0,25780,25000,25000,0,13050,13050,12550,12550,0,500,0,500,0,915,450,465,16362,10509,8373,,,,,,,,,,,
2018,517600391,1429.81348269299,G1,1,2,29,G1,2,2,G1,Q5,D10,Q3,D06,72738,23800,30,23000,48938,48938,0,31000,48768,21768,0,0,0,21768,21768,0,0,2211,1775,436,23970,13603,9766,,,,,,,,,,,
2018,517700101,572.167934381562,G1,1,2,32,G2,2,2,G1,Q4,D08,Q3,D05,29676,28576,1000,23000,1100,0,0,0,10600,10600,10000,10000,0,0,0,0,0,150,150,0,19076,8418,7693,,,,,,,,,,,
2018,517700121,1149.19539154908,G1,2,2,41,G3,4,1,G2,Q4,D08,Q2,D04,12100,100,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,12100,7338,6432,,,,,,,,,,,
2018,517700131,1196.00730199241,G1,1,2,60,G5,2,1,G1,Q5,D09,Q4,D07,38281,4481,0,0,33800,30000,30000,0,4000,4000,3000,3000,0,1000,0,1000,0,180,0,180,34281,10040,8869,,,,,,,,,,,
2018,517700141,1061.45817785008,G1,1,1,60,G5,4,3,G1,Q1,D01,Q1,D01,420,420,0,300,0,0,0,0,200,200,0,0,0,200,200,0,0,71,70,1,220,649,647,,,,,,,,,,,
2018,517700181,1070.10067255526,G1,1,1,32,G2,1,3,G1,Q2,D04,Q1,D01,2001,2001,0,2000,0,0,0,0,3430,3430,0,0,0,2500,500,2000,800,320,200,120,-1429,3243,2840,,5,1,2,1,1,,3,2,,2
2018,517700191,1366.29975177211,G1,1,3,70,G5,2,2,G2,Q4,D07,Q3,D06,21270,21270,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21270,6192,5922,,2,1,3,1,2,,,,,
2018,517700301,709.042898313253,G1,1,2,75,G5,2,5,G1,Q2,D04,Q5,D09,102230,22050,10000,0,80180,80000,0,80000,25200,200,0,0,0,0,0,0,0,500,500,0,77030,3280,3097,30,1,3,4,1,2,,2,2,,1
2018,517700341,2025.66016165288,G1,1,2,58,G4,2,1,G2,Q3,D06,Q5,D09,78510,23780,0,0,54730,48000,10000,38000,0,0,0,0,0,0,0,0,0,0,0,0,78510,4576,4335,,1,1,2,2,2,,,,,
2018,517700361,894.799575819766,G1,1,3,36,G2,1,1,G1,Q2,D04,Q3,D05,24800,5800,0,0,19000,18000,18000,0,9634,9634,9634,9634,0,0,0,0,0,433,333,100,15166,3065,2726,,4,2,4,1,2,,1,2,,2
2018,517700381,2118.74117216116,G1,1,3,56,G4,2,2,G2,Q4,D08,Q4,D07,34859,30969,0,23000,3890,0,0,0,0,0,0,0,0,0,0,0,0,260,260,0,34859,7328,6989,,,,,,,,,,,
2018,517800101,1248.44308399642,G1,1,3,50,G4,2,5,G1,Q3,D06,Q2,D04,12565,2565,0,0,10000,10000,0,10000,1000,1000,0,0,0,0,0,0,0,4000,4000,0,11565,5451,4332,10,3,1,3,2,1,,1,2,,1
2018,517800111,1681.86659915312,G1,1,4,45,G3,2,2,G1,Q3,D05,Q3,D05,35960,34260,0,26000,1700,0,0,0,21200,21200,19600,0,0,1600,1600,0,0,852,480,372,14760,3840,2727,,,,,,,,,,,
2018,517800121,644.471282050579,G1,1,6,48,G3,2,2,G2,Q5,D10,Q5,D10,183256,153256,0,130000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183256,18134,7965,,2,1,4,1,2,,,,,
